EPIC,Name  ,1W,1M,3M,6M,1Y,2Y,3Y,5Y
PSON,Pearson plc,-0.58,-2.99,1.34,1.49,13.77,11.39,37.9,46.95
PSN,Persimmon plc,-4.46,-2.27,9.08,24.34,47.61,29.51,-38.15,-23.73
PHNX,Phoenix Group Holdings Plc,-1.72,-9.66,-5.16,-5.16,8.91,-2.78,-20.21,-23.16
PRU,Prudential plc,-2.13,14.43,-6.39,-3.34,-23.12,-25.36,-54.17,-44.58
RKT,Reckitt Benckiser Group Plc,2.21,3.47,8.22,8.62,-20.34,-20.77,-14.8,-24.28
REL,RELX plc,-0.06,-1.44,-1.28,7.25,22.17,58.37,65.38,89.89
RTO,Rentokil Initial Plc,-1.63,-25.11,-23.78,-21.2,-41.02,-23.44,-39.29,-22.01
RMV,Rightmove plc,-0.48,-7.16,15.16,18.45,6.64,33.36,-7.1,18.63
RIO,Rio Tinto plc,-4.81,11.14,-2.97,-3.17,0.12,-1,2.84,23.51
RR.,Rolls Royce Holdings Plc,-0.64,11.63,16.69,29.74,149.65,669.34,268.82,110.41
SGE,Sage Group plc,0.8,1.5,-2.18,-16.42,1.58,45.44,42.32,48.82
SBRY,Sainsbury (J) plc,-1.64,-3.74,10.43,7.78,11.98,66.47,-2.57,40.08
SDR,Schroders plc,1.73,5.75,-6.26,-5.81,-12.14,-7.3,-40.59,-28.06
SMT,Scottish Mortgage Investment Trust plc,-0.26,7.15,-5.13,-2.02,24.06,14.7,-37.84,73.54
SGRO,Segro Plc,-1.64,-5.75,-9.25,-2.55,14.08,16.58,-30.11,5.45
SVT,Severn Trent Plc,-3.31,-6.76,-4.01,6.4,5.06,10.81,-3.57,18.38
SHEL,Shell plc,1.13,3.37,-8.47,-9.62,-2.63,11.41,51.76,11.98
SN.,Smith & Nephew plc,-4.12,-9.56,0.09,12.54,11.44,7.68,-12.94,-42.05
SMDS,Smith (DS),-1.21,0.53,10.02,10.71,60.96,68.5,18.74,33.88
SMIN,Smiths Group Plc,-3.61,-10.25,-7.39,-0.06,-2.46,2.99,10.7,2.13
SPX,Spirax Group plc,-6.24,-7.06,-19.23,-28.65,-22.25,-34.9,-52.34,-8.29
SSE,SSE plc,-3.36,-7.73,-0.84,15.09,16.44,22.29,18.21,46.69
STAN,Standard Chartered plc,4.64,11.28,15.66,22.81,9.96,46.44,73.54,28.92
TW.,Taylor Wimpey plc,-8.02,-5.5,0.2,16.97,29.59,69.66,1.91,2.84
TSCO,Tesco plc,-1.26,-2.23,15.71,21.01,28.17,74.38,30.41,58.05
ULVR,Unilever plc,-0.33,-4.3,8.55,25.36,21.03,22.38,23.76,0.12
UTG,Unite Group,-0.27,-6.93,-0.16,-0.22,0.82,13.3,-12.63,-16.29
UU.,United Utilities Group Plc,-0.92,-4.12,-3.89,2.68,6.7,20.93,4.33,29.49
VTY,Vistry Group Plc,-30.69,-34.14,-30.16,-22.59,11.86,65.78,-19.7,-9.41
VOD,Vodafone Group plc,1.25,-1.09,3.06,11.17,-3.53,-26.43,-33.4,-54.15
WEIR,Weir Group plc,-0.19,8.04,8.48,2.61,15.72,44.44,32.17,57.51
WTB,Whitbread plc,-1.85,0.46,5.3,-5.29,-7.59,26.24,-5.58,-11.25
WPP,WPP plc,-2.23,2.44,3.93,0.08,1.59,-0.53,-23.05,-21.58
